car_name,Encoded_value
Mercedes-Benz GLE Coupe,664
Audi A6 3.0,14
Mini Cooper D,681
Chevrolet Enjoy 1.3,75
Honda City CVT,200
Hyundai Verna i,302
Mitsubishi Outlander Chrome,688
Audi Q2 Standard,20
Bentley Continental Flying,64
Mercedes-Benz AMG GLE,617
Land Rover Defender,370
Volkswagen Tiguan Allspace,966
Volvo XC40 D4,990
Hyundai Tucson AT,287
Kia Carnival Prestige,357
Porsche Macan 2L,720
Toyota Land Cruiser,932
BMW X7 xDrive30d,62
Ford Fiesta Diesel,155
Isuzu Hi-Lander 4x2,325
Mahindra Thar AX,447
Mahindra NuvoSport N8,416
Mahindra Bolero Maxi,397
Tata Punch Camo,869
Mahindra Bolero Special,404
Maruti Swift Star,594
Audi Q5 Technology,32
Ford Endeavour 2.5L,144
MG Hector Style,390
Mercedes-Benz E-Class AMG,635
Porsche Cayenne Turbo,719
Ford Ecosport Titanium,142
Skoda Rapid Ultima,787
Ford Endeavour Sport,149
Audi A4 3.0,6
Lexus NX 300h,375
